link,name,season,birthdate,hometown,occupation,player_description
/wiki/Candice_Woodcock,Candice Woodcock,Survivor: Cook Islands,"November 12, 1982 (1982-11-12) (age 41)","Washington, District of Columbia",Pre-Med Student;Physician/Anesthesiology Resident,"


Candice Woodcock was born and raised in Fayetteville, North Carolina. She graduated from Terry Sanford High School where she was president of her class and captain of the soccer and cross country teams. She received a perfect score on the math portion of her SATs.
Woodcock won full merit scholarships to both the University of North Carolina at Chapel Hill and Duke University. She accepted the Morehead Scholarship to attend UNC-Chapel Hill and eventually received her Bachelor of Science Degree in biology and psychology with a minor in chemistry.
Survivor: Africa inspired Woodcock to do service work in Africa. Following her freshman year of college, she spent 10 and a half weeks living in a mud hut with a tribal family in the western highlands of Kenya. She taught primary and secondary school in the village and designed her own service project where she ran a clinic that distributed over 700 pairs of eyeglasses that had been donated by parties in the United States. Inspired by her work in Kenya, Woodcock became the fundraising director and then executive director of Students for Students International, a completely student-run, non-profit organization at UNC-Chapel Hill that gives scholarships to students in Zimbabwe and Tanzania. Woodcock also spent a summer studying health care in Chile and Peru and another summer splitting her time between work at the Cancer Clinic at George Washington University Hospital and La Clinica del Pueblo, a free Latino clinic in Washington, D.C.
After graduation, Woodcock decided to take a year off before continuing her studies. She worked full-time for six months as an Assistant Director of Clinical Trials and as a Director of External Practice Development for an ophthalmology practice, and then part-time for the following six months. She has just begun graduate school at Georgetown University to attain a Master's Degree in physiology and biophysics. She then plans to attend medical school. She hopes to use her medical degree to do service work in developing countries and also in underserved areas of the U.S.
Woodcock enjoys spending time with her family and friends, working out, playing sports, being in the water and playing with her dog, Louis James.

Woodcock currently resides in Washington, D.C. Her birth date is November 12, 1982.[2]
"
/wiki/Jonathan_Penner,Jonathan Penner,Survivor: Cook Islands,"March 5, 1962 (1962-03-05) (age 61)","Los Angeles, California",Writer,"


A native of New York, Jonathan Penner is an actor, having had series regular roles on ""Grapevine,"" ""The Naked Truth"" and ""Rude Awakening."" He also made guest-starring appearances in various series including CSI and ""The Nanny,"" both on CBS, as well as ""Seinfeld"" and ""Arrested Development."" Additionally, he is a producer/writer/director.
Penner attended the prestigious Phillips Andover prep school in Andover, Massachusetts, and went on to receive his Bachelor of Arts Degree from Sarah Lawrence College in Bronxville, New York.
Penner enjoys reading, traveling, cooking, soccer and baseball.
He is most proud of his family and his 1994 Oscar nomination for Best Short Film, Live Action for ""Down on the Waterfront"" (which he co-produced, co-wrote and starred in with Jason Alexander, Ed Asner and Mike Starr). In 2000, he also won the grand prize at Cognac and the screenwriting prize at the Avignon Film Festival for ""Let the Devil Wear Black.""

Penner currently resides in Los Angeles with his wife of 15 years, director Stacy Title (who directed him in the 1995 film ""The Last Supper""), and their two children, Cooper and Ava. They have one bunny, Angel Cake, one cat, Vinnie, and two lizards, Mozilla and Luna. His birth date is March 5, 1962.[1]
"
/wiki/Parvati_Shallow,Parvati Shallow,Survivor: Cook Islands,"September 21, 1982 (1982-09-21) (age 41)","West Hollywood, California;Los Angeles, California",Boxer;Charity Organizer;Yoga Teacher/Life Coach/Speaker,"


Parvati Shallow grew up the eldest of three siblings on a commune in Vero Beach, Florida. She and her family moved to Atlanta when she was 11 years old. Having studied martial arts since her youth, she currently works as a female boxer and cocktail waitress. She previously worked as a model, bartender and in public relations.
Striking out on her own when she was 17 years old, Shallow put herself through college, attending the University of Georgia where she received her Bachelor of Arts Degree in journalism with a minor in French. While in college, she was an active member of the Alpha Omicron Pi sorority.
Shallow enjoys boxing, running, hiking, volleyball, yoga, skiing, softball, dancing and swimming (she was on her high school swim team all four years). She loves the outdoors and gets ""super cranky"" if she can't play outside in the sun on a daily basis. She is most proud of being a female boxer for Perfect 10 Model Boxing.

Shallow currently resides in West Hollywood, California. Her birth date is September 21, 1982.[1]
"
/wiki/Adam_Gentry,Adam Gentry,Survivor: Cook Islands,"August 21, 1978 (1978-08-21) (age 45)","San Diego, California",Copier Sales,"
Adam Gentry was born in Virginia Beach, Virginia and eventually moved to Fredericksburg, Virginia where he attended Courtland High School and excelled in basketball. He attended Virginia Polytechnic Institute and State University in Blacksburg, Virginia, where he received a degree in marketing. While in college, he was very active in the Sigma Alpha Epsilon fraternity.
After college, Gentry moved to Richmond, Virginia, where he worked as a personal trainer for about six months. He then decided to pack up and move to San Diego. He currently sells copiers (his target market is churches). He hopes to move into medical sales.
His hobbies include going out with friends, going to the beach, working out and playing sports.
Gentry appeared on MTV's ""The Grind"" in 1999. His favorite sport is basketball. He also enjoys swimming.
Gentry currently resides in San Diego. His birth date is August 21, 1978.[1]

"
/wiki/Sundra_Oakley,Sundra Oakley,Survivor: Cook Islands,"January 2, 1975 (1975-01-02) (age 49)","Los Angeles, California",Actress,"
A first generation American, Sundra Oakley was born in Queens, New York to Jamaican parents. Oakley received her Bachelor's Degree from New York University. She also studied at Georgetown University.
Oakley is currently a cocktail waitress at a Hollywood nightclub while pursuing an acting career. She has appeared on ""CSI: Miami"" on CBS, ""Strong Medicine,"" ""Sex and the City,"" several national commercials and has appeared off Broadway.
Oakley's hobbies include dancing, traveling to new countries, reading, kung fu and capoeira, snuggling on the couch with her son to watch a movie and sleep when she can get it. Her favorite sports are running and boxing.
Oakley currently resides in Los Angeles with her son, Carsun and their beta fish, Beta. Her birth date is January 2, 1975.[1]

"
/wiki/Becky_Lee,Becky Lee,Survivor: Cook Islands,"September 11, 1977 (1977-09-11) (age 46)","Washington, District of Columbia",Attorney,"
Born to South Korean immigrants in Flushing, New York, Rebekah ""Becky"" Lee was raised in the suburbs of Pittsburgh. She attended Thomas Jefferson High School where she played varsity tennis all four years and did international volunteer work in several developing countries.
Lee received her Bachelor of Arts Degree in women's studies from the University of Michigan. While at Michigan, she was an active member of Alpha Kappa Psi and the Women's Boxing team. Lee continued on to receive her Juris Doctorate Degree from the University of Pittsburgh School of Law. While there, she was elected president of the Asian Law Students Association and was involved with Pitt Law Women's Association and Pittsburgh Asian American Young Professional Association.
Interested in the prevention of domestic violence, she has been working on issues concerning domestic violence survivors over the last eight years as a policy associate and attorney. She is also passionate about creating awareness of the specific needs of battered immigrant women, such as language access and cultural competency. She has previously worked as a kickboxing instructor, policy associate and legal intern.
Lee enjoys playing competitive sports, doing hot yoga, traveling to warm climates and going out with her girlfriends. Her favorite sport is football, and she especially loves watching her two favorite teams, the Pittsburgh Steelers and the Michigan Wolverines. She regularly plays flag football and tennis. She is most proud of passing the bar exam. She is a member of the Pennsylvania Bar Association.
Lee currently resides in Washington, D.C. Her birth date is September 11, 1977.[1]

"
/wiki/Ozzy_Lusth,Ozzy Lusth,Survivor: Cook Islands,"August 23, 1981 (1981-08-23) (age 42)","Venice, California",Waiter;Photographer,"


Born in Mexico, Oscar ""Ozzy"" Lusth moved 10 times in his teen years to seven U.S. States and Central America while his mother remarried. He attended two years of college at Santa Barbara City College before moving to the Los Angeles area.
Lusth is currently a waiter and was formerly a restaurant manager. He enjoys big wave surfing, skateboarding, sailing, snowboarding, wakeboarding, gymnastics and motorcycle riding. He owns land in Panama and enjoys going there to spearfish. He can dive to 30 feet and can hold his breath under water for three minutes. He is skilled at building traps, forts, shelter and surviving in the wilderness on his own. In the summer of 2005, he camped all the way from Panama to San Diego over the course of five months.
He enjoys reading and writing.

Lusth currently resides in Venice, California with his German Shepard mix, Buddha (who also accompanies him on his board while surfing). His birth date is August 23, 1981.[1]
"
/wiki/Yul_Kwon,Yul Kwon,Survivor: Cook Islands,"February 14, 1975 (1975-02-14) (age 49)","San Mateo, California;Los Altos, California",Management Consultant;Product Management,"


Yul Kwon was born in Queens, New York to parents who emigrated from South Korea. The family moved to the West Coast when he was six years old and he was raised in Concord, California. He attended high school at Northgate High in Walnut Creek, California, where he played varsity water polo and track and graduated valedictorian.
Kwon then attended Stanford University and obtained a Bachelor of Science Degree in symbolic systems (theoretical computer science). While at Stanford, he received the James Lyons Award for Service, attended officer candidates school for the U.S. Marine Corps and graduated Phi Beta Kappa. Kwon went on to receive his Juris Doctor Degree from Yale Law School, where he served on the editorial board of the Yale Law Journal.
Kwon has enjoyed a diverse career straddling both the private and public sectors in law, business and technology. He practiced a mix of litigation, appellate, transactional and regulatory work at several law firms. He also served as a judicial clerk to a federal judge on the 2nd Circuit Court of Appeals. Additionally, he worked as a legislative aide to Senator Joseph Lieberman in Washington, D.C., where he helped draft sections of the Homeland Security Bill and other technology-related legislation. Several years ago, Kwon decided to switch careers and become a management consultant at McKinsey. From there, he joined Google's business strategy group and most recently went back into consulting.
Kwon's favorite hobbies include politics, boxing, ultimate fighting and volunteering with kids. He describes himself as idealistic, compassionate and ambitious. He became passionate about creating awareness for more minority bone marrow donors in the U.S. after launching a major search to find a match for his best friend who was diagnosed with leukemia, but ultimately succumbed to the disease.
Kwon is a member of the Washington, D.C. and California State Bar Associations. He is also a member of the Lambda Phi Epsilon fraternity.

Kwon currently resides in San Mateo, California. His birth date is February 14, 1975.[1]
"
/wiki/Jessica_deBen,Jessica deBen,Survivor: Fiji,"April 25, 1979 (1979-04-25) (age 44)","Los Angeles, California",Fashion Stylist,"
Originally from New Orleans, Jessica deBen attended approximately three years of college at Millsaps College in Jackson, Mississippi. She went on to attend the University of New Orleans and Tulane University.
deBen moved to Los Angeles three years ago and currently works as a fashion stylist and make-up artist. She works freelance with photographers, models and magazine editors. She previously worked as a body painter for the ""Lion King"" show at Disney in Orlando and also as an attendant for the Volunteers of America Personal Care.
deBen describes herself as ambitious, warm and unbreakable. Her hobbies include portrait painting, jogging, hiking, kayaking, biking and eating pancakes at The Griddle Café. She is an avid fan of the New Orleans Hornets basketball team (she used to go to games twice a week when she lived there). She is a member of the Los Angeles Contemporary Exhibitions and St. Brendan's Catholic Church.[1]

"
/wiki/Erica_Durousseau,Erica Durousseau,Survivor: Fiji,"December 11, 1979 (1979-12-11) (age 44)","Baton Rouge, Louisiana",Non-Profit Fundraiser,"
Born in Lake Charles, Louisiana, Erica Durousseau received a track scholarship to Grambling College, also in Louisiana, where she earned her Bachelor's Degree in Mass Communications. She then moved to Jackson, Mississippi for three years before relocating to New Orleans. After Hurricane Katrina, Durousseau was forced to move to Lake Charles and then Baton Rouge.
Durousseau currently works as a youth market director, traveling between two states while managing fundraisers. She previously worked as an advertising sales representative, store supervisor and waitress.
She describes herself as subtle, confrontational and outgoing. Her hobbies include writing, reading and spending time with her family. Her favorite sports are football and soccer. She is a member of the Alpha Kappa Alpha Sorority, Inc.
Currently single, Durousseau's birth date is December 11, 1979.[1]

"
/wiki/Sylvia_Kwan,Sylvia Kwan,Survivor: Fiji,"August 18, 1954 (1954-08-18) (age 69)","Ross, California",Architect,"
Sylvia Kwan was born in Hong Kong, where she lived for eight and a half years before moving with her parents and five siblings to Los Angeles. After graduation from high school, she relocated to the Bay Area where she received her Bachelor of Arts degree and Master of Architecture degree from the University of California at Berkeley.
Kwan is the founder and Chairman of a renowned architectural firm located in San Francisco. As Chairman, she is responsible for strategic planning and development for her award-winning firm. She has resided as the Board Chair of the San Francisco Chamber of Commerce and currently serves on the board of a number of Bay Area non-profit and for-profit boards. She is also a Fellow of the American Institute of Architects. Kwan is especially proud of designing the interiors of Pacific Bell Park (now AT&T Park), home of the San Francisco Giants.
Kwan describes herself as creative, energetic and determined, and according to her husband, holds the unofficial title of ""Ultimate Consumer."" In her spare time, Kwan plays tennis, skis, hikes and plays golf. She's also happy that she finally learned how to swim, because it was sink or swim as a Survivor contestant. Kwan's never met an exercise routine she didn't like, keeping in shape with Pilates, yoga, Tai Chi, and any new type of gym equipment introduced.
Kwan resides in Marin County with her husband of 26 years, Denis Henmi. They are currently building their dream house, a mid-century modern creation that was inspired by years of designing homes for their clients. Kwan and Henmi have two children, Drew, 18 and Derek, 15. Kwan was born on August 18, 1954.[1]

"
/wiki/Gary_Stritesky,Gary Stritesky,Survivor: Fiji,"September 16, 1951 (1951-09-16) (age 72)","Ramsey, Minnesota",School Bus Driver,"
Born and raised in Silver Lake, Minnesota, Gary Stritesky attended Silver Lake High School where he participated in football, basketball, track and baseball. He then attended St. Cloud State University and also trained at Brooks Barber School which ignited a 14-year career as a barber. He also participated in a real estate program at Anoka-Ramsey Community College.
Stritesky currently works as a school bus driver and carpenter. He recently built a six-unit townhome complex for senior citizens in Silver Lake, Minnesota. He was previously in the military, stationed in Vietnam for eight months in 1971. He has also worked as a taxi cab driver and landscaper. In 1990, Stritesky spent a year living in Melbourne, Australia, with his family during his wife's teacher exchange program. In 2002, they returned to Perth, Australia, for another year as a result of his wife's second teacher exchange program.
Stritesky has competed in multiple inline skate marathons. He also enjoys biking, canoeing and coaching. He spent many years coaching his children's soccer, baseball, basketball and football teams. At least once a year, Stritesky travels to the Boundary Waters Canoe Area Wilderness, taking part in portaging, canoeing, fishing and enjoying the solitude of the northern Minnesota lakes. He has biked in many areas of Minnesota, including leading a scout group to camp and family trips. He also participated in a cross-country biking adventure while in Australia.
Stritesky currently resides in Ramsey, Minnesota with his wife of 34 years, Diane. They have four children, Aaron, Alison, Leah and Kara and two grandchildren. His pet bulldog, Dobber, recently passed away. They have since adopted Harley and Blaze, two miniature dachshunds, and just returned their pet snapping turtle, Snappy, to the wilderness. Stritesky's birth date is September 16, 1951.[1]

"
/wiki/Liliana_Gomez,Liliana Gomez,Survivor: Fiji,"April 5, 1981 (1981-04-05) (age 42)","Los Angeles, California",Loan Officer,"
Liliana Gomez grew up the second eldest of eight siblings in the city of Oxnard, California. Born of Mexican descent, Gomez always held strong to her roots and decided, with the permission of her parents, to move to Guadalajara, Jalisco, for one year when she was 11 years old. Surrounded by the rich, colorful folklore of Guadalajara, she discovered her passion for music and singing.
Moving back to the United States, Gomez eventually became an assistant for handicapped children at a local junior high while she was attending high school. In 1999, she graduated from Rio Mesa High School and then immediately joined the United States Marine Corps where she served for eight years. Gomez received her training in Parris Island, South Carolina, and graduated as Squad Leader and Honor Graduate through Military Occupation School. During her tour in the U.S. Marine Corps, she served in the Operation Iraqi Freedom War in 2003.
Gomez is currently a mortgage loan officer in Los Angeles where she helps people buy, sell and/or refinance properties. She aspires to pursue a career as an entertainer as her passion has always been with the arts and working with children.
Gomez enjoys anything athletic, the outdoors, music, singing, dancing, independent films, barbecues and playing with her nephews, Frankie and Dario. She also enjoys following professional soccer. She describes herself as strong, stubborn, confident, goofy and a witty gal. She is most proud of her sense of family and her burning fire for life.[1]

"
/wiki/Rita_Verreos,Rita Verreos,Survivor: Fiji,"July 19, 1968 (1968-07-19) (age 55)","San Antonio, Texas",Single Mom,"
Born in Venezuela, Rita Verreos moved to San Francisco when she was eight years old. She attended the University of California, Berkeley, before transferring to the University of California, Los Angeles. She graduated magna cum laude with a Bachelor's Degree in Italian and French Literature.
Verreos has traveled extensively through Central and South America, the Caribbean and Europe. After college, she moved to Mexico City where she lived for 11 years with her then husband and two children. She was a contestant in the Miss Venezuela pageant and walked the fashion runways of Venezuela, Mexico and Los Angeles. In 1990, she appeared in the film ""Marked for Death.""
In 2003, Verreos moved to Texas with her two children. She currently juggles being a single mom with working part-time on her business as an image consultant who specializes in coaching girls for the Miss Texas, Miss California and Miss USA Pageants. She is also a television spokesperson for a local supermarket chain in San Antonio and Austin, Texas.
Verreos enjoys playing with her children, cooking, listening to ""world"" music, reading and writing in foreign languages. She also enjoys playing basketball, football and walking. She describes herself as persistent, tough on the outside…tender on the inside, considerate and respectful.
Verreos currently resides in San Antonio, Texas, with her children, her parents, and their golden retriever, Blackie. Her birth date is July 19, 1968.[1]

"
/wiki/Anthony_Robinson,Anthony Robinson,Survivor: Fiji,"June 25, 1974 (1974-06-25) (age 49)","Compton, California",Expert Witness Locator,"
Growing up in Compton, California, Anthony Robinson was raised by his mother and grandmother. After high school, Robinson moved to New Haven, Connecticut where he received his Bachelor of Arts degree in American Studies from Yale University. While at Yale, he performed in two college plays and various college sketch comedy shows with Yale's ""The Fifth Humour.""
Robinson currently works in legal support services where he helps find expert witnesses for attorneys. He also coordinates the inspections, exams and testimonies. He previously worked in public relations and in computer support and sales.
Robinson enjoys gaming—live action role-playing (dressing up in costumes and reliving an era or genre), video games and poker. He also enjoys dancing, juggling, roller hockey, watching movies and creating his own movies. He describes himself as friendly, dorky and intelligent. He is a member of the Yale Alumni Association and a genre writing group called ""Fictionados.""
Robinson is currently single and living with his mother and grandmother in Compton, California. His birth date is June 25, 1974.[1]

"
/wiki/Rocky_Reid,Rocky Reid,Survivor: Fiji,"September 11, 1978 (1978-09-11) (age 45)","Los Angeles, California",Bartender,"
Originally from Boston, James Reid received his high school diploma through an adult program. He currently works as a bartender and also sets up for private parties and special events at an upscale hotel. He was formerly in the United States Navy, stationed in Ridgecrest, California and San Diego where he eventually received an honorable discharge.
Reid enjoys working out at the gym, most sports (especially football) and hanging out with good friends. He describes himself as outgoing, tough (but an overall ""good kid""), a people person and a ""man's man.""
Reid is currently single and living in Los Angeles, California. His birth date is September 11, 1978.[1]

"
/wiki/Lisi_Linares,Lisi Linares,Survivor: Fiji,"June 9, 1970 (1970-06-09) (age 53)","Los Angeles, California",Customer Service Representative,"
Born in Miami, Florida, Lisette ""Lisi"" Linares lived on again and off again in New York City, taking college courses at New York University Film School before moving to Los Angeles. She currently works as a customer service representative for a psychic service company. She has previously worked as a reservationist and paralegal.
Linares describes herself as an ""Underground Electropunk Noise Artist"" and has procured quite a following (she had a hit in France in 2004). In her spare time, she enjoys hiking with her dog. Her favorite sport is tennis. She describes herself as creative, intelligent, smart, observant and fun. She believes her resourcefulness and humor will help her do well on Survivor.
If Linares could hold any office, she would like to be the Mayor of Miami (ironically, her grandfather was once the mayor of his town in Cuba).
Linares currently resides in Los Angeles with her Scottish terrier, George. Her birth date is June 9, 1970.[1]

"
/wiki/Michelle_Yi,Michelle Yi,Survivor: Fiji,"December 2, 1983 (1983-12-02) (age 40)","Cincinnati, Ohio",Student,"
Raised in Cincinnati, Michelle Yi is in her final year at the University of Cincinnati where she is studying fashion design at their college of Design, Architecture, Art and Planning (DAAP).
Yi enjoys fashion photography, traveling and is an avid and competitive rock climber. She enjoys 80s pop music, drinking Eddie James, pirates, things that are green and video games prefaced with the name Mario. Yi admits she likes to eat—everything from Korean BBQ to Cincinnati Skyline Chili, with a particular weakness for ice cream and sushi. To complement her love for food, Yi practices yoga, lifts weights and trains for climbing. She's not a big fan of cardio workouts, but does it anyway because she believes it builds character and prevents heart disease.
Yi describes herself as very independent and is a true believer in following one's passions and staying inspired. She thinks a positive attitude will keep you smiling through anything. She believes her bubbly and laid back personality allows her to enjoy most people, but she claims if you rub her the wrong way, she'll be sure you know it! Yi's hero is her mother, who lives in Taipei, Taiwan.
Yi hopes to continue to travel, particularly to go ""bouldering"" in New Zealand and to spend some time in her favorite hotspot, Manhattan. Yi currently resides in Cincinnati. Her birth date is December 2, 1983.[1]

"
/wiki/Edgardo_Rivera,Edgardo Rivera,Survivor: Fiji,"October 5, 1978 (1978-10-05) (age 45)","Miami Beach, Florida",Ad Executive,"
Born in San Juan, Puerto Rico, Edgardo Rivera spent his teenage years there while attending high school. After his senior year, Rivera moved to the United States where he attended Ball State University in Muncie, Indiana. He received a Bachelor's Degree in advertising while playing on the Varsity Tennis Team. During this time, he earned All-Conference accolades and was part of the Davis Cup National Tennis Team for his native Puerto Rico.
After graduating college, Rivera began to work in an advertising agency in Puerto Rico before moving to Miami to further his career. He is currently a Regional Account and Planning Supervisor for a major client of a multinational advertising agency.
Rivera enjoys playing beach volleyball, tennis, basketball, traveling, spending time with his family and friends when he visits Puerto Rico and occasionally hitting the hot spots in South Beach, Miami. He describes himself as spontaneous, ambitious and very adventurous.
Rivera has three younger sisters, Rebeca, Adriana and Isabella. He currently resides in Miami Beach, Florida. His birth date is October 5, 1978.[1]

"
/wiki/Mookie_Lee,Mookie Lee,Survivor: Fiji,"November 10, 1981 (1981-11-10) (age 42)","Chicago, Illinois",Business Consultant,"
Born in Seoul, Korea, Mookie Lee moved to Storrs, Connecticut at the age of three and then was raised in Northbrook, Illinois, for the majority of his teenage years. In 2003, Lee received his Bachelor's Degree from the University of Illinois at Urbana-Champaign where he studied Actuarial Science and Finance. He was also a member of the Pi Kappa Alpha Fraternity.
Lee is currently a program manager at an internet loan company and is responsible for the coordination and implementation of business projects. He is also involved in real estate part time. He previously worked at one of the largest global consulting organizations as a consultant in transformation and business strategy, focused on the financial services industry.
Lee enjoys traveling, playing competitive sports (particularly basketball and volleyball) and spending time with his friends and family. He is a die-hard Chicago Bears fan and is a season ticket holder. He describes himself as outgoing, humorous, strong-minded, competitive and athletic. The most important people in his life are God, his parents, John and Mee, and his older sister, Kim, who recently married in the fall of 2006.
Lee is currently single and resides in downtown Chicago. His birth date is November 10, 1981.[1]

"
/wiki/Alex_Angarita,Alex Angarita,Survivor: Fiji,"April 20, 1978 (1978-04-20) (age 45)","Los Angeles, California",Attorney,"
Born in Colombia, South America, Alex Angarita moved to California where he received his Bachelor of Arts degree from the University of California, Irvine. He then moved to Cambridge, Massachusetts, where he received his Juris Doctor Degree from Harvard Law School. While at Harvard, he was also a member of the Harvard Boxing Club.
Angarita is currently practicing law on a freelance basis and working to start his own educational consulting company. Prior to his participation on Survivor: Fiji, Angarita worked as an attorney for one of the largest law firms in Los Angeles, where he represented large companies in various transactions. He previously worked as an operations director for a test preparation company and also as a tutor.
He enjoys boxing, running, basketball, weight-lifting, painting and yoga. He recently spent a week climbing Mt. Whitney. He describes himself as assertive, witty and personable. He is a member of the American Bar Association.
Angarita currently resides in Los Angeles, California. His birth date is April 20, 1978.[2]

"
/wiki/Stacy_Kimball,Stacy Kimball,Survivor: Fiji,"October 1, 1979 (1979-10-01) (age 44)","Boulder, Colorado",Web Producer,"
Born in South Korea, Stacy Kimball was adopted at six months old and raised in Montpelier, Vermont.
At the age of 17, Kimball moved to Miami, Florida, even though she had never visited the city before. She received her Bachelor of Fine Arts degree in Graphic Design from the Ai Miami International University of Art and Design while working full time and interning.
Kimball currently works in advertising as an interactive producer where she works together with the creative department and the development team to produce innovative web content for national clients.
Kimball enjoys knitting, making jewelry and cooking. She describes herself as resourceful, optimistic and good-humored. Whether living in Vermont, Miami or Boulder, she is most proud of her ability to adapt to her surroundings.
Kimball is currently single and living in Boulder, Colorado. Her birth date is October 1, 1979.[1]

"
/wiki/Boo_Bernis,Boo Bernis,Survivor: Fiji,"June 21, 1972 (1972-06-21) (age 51)","Lafayette, Louisiana",Construction Worker,"
Born and raised in Lafayette, Louisiana, Kenward ""Boo"" Bernis works in construction during the day and manages the bar he owns at night. He has previously worked as a crawfish farmer and health club worker.
Bernis attended the University of Louisiana in Lafayette where he received a Bachelor's Degree in General Studies. He enjoys participating in mixed martial arts fighting and Olympic lifting. He describes himself as strong-willed, outgoing and adventurous. He considers himself to be a cerebral athlete, a great problem solver and strong both mentally and physically.
Bernis continues to reside in Lafayette, Louisiana. His birth date is June 21, 1972.[1]

"
/wiki/Yau-Man_Chan,Yau-Man Chan,Survivor: Fiji,"August 26, 1952 (1952-08-26) (age 71)","Martinez, California",Computer Engineer,"


Originally from Malaysian Borneo, Yau-Man Chan attended All Saints Secondary School in Kota Kinabalu. He moved to the United States where he received a Bachelor of Science degree from the Massachusetts Institute of Technology. He went on to receive his Master of Science degree from the University of California, Santa Barbara.
Chan is the Director of Information Systems for the College of Chemistry at the University of California, Berkeley. In this position, he manages and runs the information systems infrastructure for administrative, research and teaching units of the college. This includes setting up networks, computers and managing business database systems. He previously worked designing electronic circuits for scientific instruments to collect data. He's also been a housepainter, cook and dishwasher.
Chan enjoys playing table tennis, bicycling, woodworking and reading. He is a member of the USA Table Tennis Association. He describes himself as intellectual and contemplative. He considers himself a natural leader, a good organizer, very skilled with his hands, very resourceful and feels he possesses a keen intellect.

Chan has been married to his wife, Jennifer, for 23 years. They have two children, Penelope and Ione. They also have a dog, Tucker and two rabbits, Ruby and Cupid. Chan's birth date is August 26, 1952.[1]
"
/wiki/Cassandra_Franklin,Cassandra Franklin,Survivor: Fiji,"April 19, 1964 (1964-04-19) (age 59)","Los Angeles, California",College Administrator,"
Cassandra Franklin was born and raised in Los Angeles, California. She currently manages the Civil and Environmental Engineering Department at the University of California, Los Angeles, and has been employed by the university for 23 years.
Franklin participates in events to raise funds and awareness for Minority Women and Children with AIDS and Breast Cancer Research. Additionally, she is Vice President of the Board of Directors for the Southeast Communities Prevention and Intervention Program.
Franklin's hobbies include skiing, traveling and shopping. She describes herself as fun, warm and giving. She is very proud of her family, including her mother, Varie, who is retired and living in Los Angeles with Franklin's stepfather, Coleman. Her sister, Debra, resides in Los Angeles with her husband, Dr. Robert A. Williams, the pastor of the McCoy Memorial Baptist Church.
Franklin has been married for two years to her husband, Clif. Her birth date is April 19, 1964.[1]

"
/wiki/Dreamz_Herd,Dreamz Herd,Survivor: Fiji,"December 15, 1981 (1981-12-15) (age 42)","Wilmington, North Carolina",Cheerleading Coach,"
Growing up homeless in the projects of Wilmington, North Carolina, Andria ""Dre"" Herd spent most of his childhood trying to keep his family together and alive. He slept on the streets, ate at soup kitchens and was able to survive by becoming a street performer with his brothers. In high school, Herd began playing sports and quickly became an athletic superstar, excelling in cheerleading.
Herd spends his summers teaching cheerleading for the Universal Cheerleading Association. He also is training to be a boxer at the gym owned by his brother. Herd enjoys boxing, basketball, tumbling and stunting. He is very proud to have obtained his Associate's Degree from Cape Fear Community College.
Herd describes himself as humorous, energetic and intelligent. Describing his perfect day, he says, ""When everybody is happy all day... that's a perfect day.""
Herd continues to reside in Wilmington, North Carolina. He is a proud father to his two-year-old son, Giovanni, and his one-month-old son, Luca. His birth date is December 15, 1981.[1]

"
/wiki/Earl_Cole,Earl Cole,Survivor: Fiji,"April 9, 1971 (1971-04-09) (age 52)","Santa Monica, California",Ad Executive,"
Originally from Kansas City, Kansas, Earl Cole attended business school at the University of Washington in Seattle and received a National Scholastic Achievement Award before moving to Southern California. He is currently a Senior Advertising Executive who creates and manages new media strategies, brand marketing and advertising budgets for major accounts. He formerly worked as a marketing manager at a cable company, a sales analyst for a film company and a writer's assistant for a television comedy series.
In addition, Cole also works as a composer and is an accomplished musician. He plays multiple instruments (piano, saxophone, guitar, violin… and a little bit of drums). He also enjoys playing chess, hiking, watching movies, billiards and playing basketball. He considers himself to be very intelligent, creative, athletic and confident, with a witty sense of humor. He is a member of the American Society of Composers, Authors and Publishers (ASCAP).
Earl currently resides in Santa Monica, California. His birth date is April 9, 1971.[2]

"
/wiki/Chicken_Morris,Chicken Morris,Survivor: China,"September 2, 1959 (1959-09-02) (age 64)","Marion, Virginia",Chicken Farmer,"
Steve ""Chicken"" Morris was born in Marion, Virginia, and grew up on a commercial farm, where he has worked with poultry since he was 13 years old. He is a single parent who raised his three children, Tyychelle and twins Dee Ann and Jessica, on his own.
Morris currently manages the farm, where they produce all natural eggs and chickens along with grass-fed beef, pork and turkey. He also runs a store on the property. He previously worked as a bouncer, a fish culturist for the Fish & Game Department, a security officer and a logger. He enjoys hunting, fishing, camping and riding ATVs. He describes himself as outgoing and someone who lives on the edge. He enjoys country and bluegrass music. His favorite sport is baseball. He is a member of the Rich Valley Fair Association and the Abingdon Farmers Market Board.
Morris currently resides in Marion, Virginia. He had four dogs, Zek, Cluck, Poke and Eli. His birth date is September 2, 1959.[1]

"
